nCodServ;inativo;cCodigo;cDescricao;cDescrCompleta;nPrecoUnit;cIdTrib;cCodLC116;cCodServMun;cCodCateg;nAliqISS;cRetISS;nAliqPIS;cRetPIS;nAliqCOFINS;cRetCOFINS;nAliqCSLL;cRetCSLL;nAliqIR;cRetIR;nAliqINSS;cRetINSS;cCstIbsCbs;cClassTrib;cIndOper;nAliqIbsMun;nAliqIbsUf;nAliqCbs;nPercReducaoIbsMun;nPercReducaoIbsUf;nPercReducaoCbs
1995487798;N;rev86110.600;Revisão de 600 horas 86-110;Revisão de 600 horas 86-110 -;0;01;14.01;3314712;;3;N;0;N;0;N;0;N;0;N;0;N;000;000001;030103;0;0,1;0,9;0;0;0
1995487800;N;rev86110.900;Revisão de 900 horas 86-110;Revisão de 900 horas 86-110 -;0;01;14.01;3314712;;3;N;0;N;0;N;0;N;0;N;0;N;000;000001;030103;0;0,1;0,9;0;0;0
1995487777;N;rev9200.1200;Revisão de 1200 horas 9200;Revisão de 1200 horas 9200 - Troca de Óleo do Motor, Troca de Óleo da Transmissão e do Hidráulico, Troca de Filtro do Motor, Troca de Filtro do Combustível, Troca de Óleo do Cambio, Adição de aditivo no Radiador, Troca de Filtro do Hidráulico, Troca de Filtro de Ar,;0;01;14.01;3314712;1.01.02;3;N;0;N;0;N;0;N;0;N;0;N;000;000001;030103;0;0,1;0,9;0;0;0
1995487780;N;rev9200.1500;Revisão de 1500 horas 9200;Revisão de 1500 horas 9200 - Troca de Óleo do Motor, Troca de Óleo da Transmissão e do Hidráulico, Troca de Filtro do Motor, Troca de Filtro do Combustível, Troca de Óleo do Cambio, Troca de Filtro do Hidráulico, Troca de Filtro de Ar, Troca de Filtro de Ar.;0;01;14.01;3314712;1.01.02;3;N;0;N;0;N;0;N;0;N;0;N;000;000001;030103;0;0,1;0,9;0;0;0
1995487783;N;rev9200.1800;Revisão de 1800 horas 9200;Revisão de 1800 horas 9200 - Troca de Óleo do Motor, Troca de Óleo da Transmissão e do Hidráulico, Troca de Filtro do Motor, Troca de Filtro do Combustível, Troca de Óleo do Cambio, Troca de Filtro do Hidráulico, Troca de Filtro de Ar, Troca de Filtro de Ar.;0;01;14.01;3314712;1.01.02;3;N;0;N;0;N;0;N;0;N;0;N;000;000001;030103;0;0,1;0,9;0;0;0
1995487785;N;rev9200.2100;Revisão de 2100 horas 9200;Revisão de 2100 horas 9200 - Troca de Óleo do Motor, Troca de Óleo da Transmissão e do Hidráulico, Troca de Filtro do Motor, Troca de Filtro do Combustível, Troca de Óleo do Cambio, Troca de Filtro do Hidráulico, Troca de Filtro de Ar, Troca de Filtro de Ar.;0;01;14.01;3314712;1.01.02;3;N;0;N;0;N;0;N;0;N;0;N;000;000001;030103;0;0,1;0,9;0;0;0
1995487787;N;rev9200.2400;Revisão de 2400 horas 9200;Revisão de 2400 horas 9200 - Troca de Óleo do Motor, Troca de Óleo da Transmissão e do Hidráulico, Troca de Filtro do Motor, Troca de Filtro do Combustível, Troca de Óleo do Cambio, Adição de aditivo no Radiador, Troca de Filtro do Hidráulico, Troca de Filtro de Ar,;0;01;14.01;3314712;1.01.02;3;N;0;N;0;N;0;N;0;N;0;N;000;000001;030103;0;0,1;0,9;0;0;0
1995487789;N;rev9200.2700;Revisão de 2700 horas 9200;Revisão de 2700 horas 9200 - Troca de Óleo do Motor, Troca de Óleo da Transmissão e do Hidráulico, Troca de Filtro do Motor, Troca de Filtro do Combustível, Troca de Óleo do Cambio, Troca de Filtro do Hidráulico, Troca de Filtro de Ar, Troca de Filtro de Ar.;0;01;14.01;3314712;1.01.02;3;N;0;N;0;N;0;N;0;N;0;N;000;000001;030103;0;0,1;0,9;0;0;0
1995487767;N;rev9200.300;Revisão de 300 horas 9200;Revisão de 300 horas 9200 - Troca de Óleo do Motor, Troca de Óleo da Transmissão e do Hidráulico, Troca de Filtro do Motor, Troca de Filtro do Combustível, Troca de Óleo do Cambio, Troca de Filtro do Hidráulico, Troca de Filtro de Ar, Troca de Filtro de Ar.;0;01;14.01;3314712;1.01.02;3;N;0;N;0;N;0;N;0;N;0;N;000;000001;030103;0;0,1;0,9;0;0;0
1995487791;N;rev9200.3000;Revisão de 3000 horas 9200;Revisão de 3000 horas 9200 - Troca de Óleo do Motor, Troca de Óleo da Transmissão e do Hidráulico, Troca de Filtro do Motor, Troca de Filtro do Combustível, Troca de Óleo do Cambio, Troca de Filtro do Hidráulico, Troca de Filtro de Ar, Troca de Filtro de Ar.;0;01;14.01;3314712;1.01.02;3;N;0;N;0;N;0;N;0;N;0;N;000;000001;030103;0;0,1;0,9;0;0;0
1995487770;N;rev9200.600;Revisão de 600 horas 9200;Revisão de 600 horas 9200 - Troca de Óleo do Motor, Troca de Óleo da Transmissão e do Hidráulico, Troca de Filtro do Motor, Troca de Filtro do Combustível, Troca de Óleo do Cambio, Troca de Filtro do Hidráulico, Troca de Filtro de Ar, Troca de Filtro de Ar.;0;01;14.01;3314712;1.01.02;3;N;0;N;0;N;0;N;0;N;0;N;000;000001;030103;0;0,1;0,9;0;0;0
1995487773;N;rev9200.900;Revisão de 900 horas 9200;Revisão de 900 horas 9200 - Troca de Óleo do Motor, Troca de Óleo da Transmissão e do Hidráulico, Troca de Filtro do Motor, Troca de Filtro do Combustível, Troca de Óleo do Cambio, Troca de Filtro do Hidráulico, Troca de Filtro de Ar, Troca de Filtro de Ar.;0;01;14.01;3314712;1.01.02;3;N;0;N;0;N;0;N;0;N;0;N;000;000001;030103;0;0,1;0,9;0;0;0
1995638591;N;sub.anel.ori;Substituição Anel Oring;Substituição Anel Oring - Subistituição Anel Oring;0;01;14.01;3314712;1.01.02;3;N;0;N;0;N;0;N;0;N;0;N;000;000001;030103;0;0,1;0,9;0;0;0
2066342708;N;sub.bate;Substituição da Bateria;Substituição da Bateria;0;01;14.01;3314712;1.01.02;3;N;0;N;0;N;0;N;0;N;0;N;000;000001;030103;0;0,1;0,9;0;0;0
1995574312;N;sub.enga.rap;Substituição Do Engate Rápido;Substituição Do Engate Rápido - Substituição Do Engate Rapido;0;01;14.01;3314712;1.01.02;3;N;0;N;0;N;0;N;0;N;0;N;000;000001;030103;0;0,1;0,9;0;0;0
2203271785;N;sub.lan.trad;Substituição da Lanterna Traseira Direita;Substituição da Lanterna Traseira Direita;0,00001;01;14.01;3314712;1.01.02;0;N;0;N;0;N;0;N;0;N;0;N;000;000001;030103;0;0,1;0,9;0;0;0
2203271835;N;sub.lant.trae;Substituição da Lanterna Traseira Esquerda;Substituição da Lanterna Traseira Esquerda;0;01;14.01;3314712;1.01.02;0;N;0;N;0;N;0;N;0;N;0;N;000;000001;030103;0;0,1;0,9;0;0;0
2208502321;N;sub.oleo.cub;Substituição do Óleo do Cubo da Roda Dianteira;Substituição do Óleo do Cubo da Roda Dianteira;0;01;14.01;3314712;1.01.02;0;N;0;N;0;N;0;N;0;N;0;N;000;000001;030103;0;0,1;0,9;0;0;0
1995644605;N;sub.peça;Substituição De Peça;Substituição De Peça - Substituição De Peça;0;01;14.01;3314712;1.01.02;3;N;0;N;0;N;0;N;0;N;0;N;000;000001;030103;0;0,1;0,9;0;0;0
2203271716;N;sub.ret.rode;Substituição do Retentor Roda Frontal Esquerda;Substituição do Retentor Roda Frontal Esquerda;0;01;14.01;3314712;1.01.02;0;N;0;N;0;N;0;N;0;N;0;N;000;000001;030103;0;0,1;0,9;0;0;0
2037745439;N;vis.rep1;Visita Técnica nº1;Visita Técnica nº1;0;01;14.01;3314712;;3;N;0;N;0;N;0;N;0;N;0;N;000;000001;030103;0;0,1;0,9;0;0;0
2037745441;N;vis.rep2;Visita Técnica nº2;Visita Técnica nº2;0;01;14.01;3314712;;3;N;0;N;0;N;0;N;0;N;0;N;000;000001;030103;0;0,1;0,9;0;0;0
2037745443;N;vis.rep3;Visita Técnica nº3;Visita Técnica nº3;0;01;14.01;3314712;;3;N;0;N;0;N;0;N;0;N;0;N;000;000001;030103;0;0,1;0,9;0;0;0
2037745445;N;vis.rep4;Visita Técnica nº4;Visita Técnica nº4;0;01;14.01;3314712;;3;N;0;N;0;N;0;N;0;N;0;N;000;000001;030103;0;0,1;0,9;0;0;0
2037745447;N;vis.rep5;Visita Técnica nº5;Visita Técnica nº5;0;01;14.01;3314712;;3;N;0;N;0;N;0;N;0;N;0;N;000;000001;030103;0;0,1;0,9;0;0;0
2037745450;N;vis.rep6;Visita Técnica nº6;Visita Técnica nº6;0;01;14.01;3314712;;3;N;0;N;0;N;0;N;0;N;0;N;000;000001;030103;0;0,1;0,9;0;0;0
2037745452;N;vis.rep7;Visita Técnica nº7;Visita Técnica nº7;0;01;14.01;3314712;;3;N;0;N;0;N;0;N;0;N;0;N;000;000001;030103;0;0,1;0,9;0;0;0
2037745454;N;vis.rep8;Visita Técnica nº8;Visita Técnica nº8;0;01;14.01;3314712;;3;N;0;N;0;N;0;N;0;N;0;N;000;000001;030103;0;0,1;0,9;0;0;0
2216884065;N;dre.tanq.com;Drenar Diesel do Tanque de Combustivel;Drenar Tanque Combustivel;0;01;14.01;3314712;1.01.02;3;N;0;N;0;N;0;N;0;N;0;N;000;000001;030103;0;0,1;0,9;0;0;0
2209647062;N;lim.filt.cen;Limpeza do Filtro Centrifugo;Remoção do Filtro Centrifugo, limpeza do Filtro e instalação do filtro centrifugo;0;01;14.01;3314712;1.01.95;3;S;0;N;0;N;0;N;0;N;0;N;000;000001;030103;0;0,1;0,9;0;0;0
2209646823;N;lim.valv.egr;Limpeza da Valvula EGR;Limpeza da Valvula EGR;0;01;14.01;3314712;1.01.95;3;N;0;N;0;N;0;N;0;N;0;N;000;000001;030103;0;0,1;0,9;0;0;0
2403839881;N;R.HR;Hora Retrabalhada;Hora Retrabalhada;185;01;14.01;3314712;1.01.02;0;N;0;N;0;N;0;N;0;N;0;N;000;000001;030103;0;0,1;0,9;0;0;0
2216884390;N;rep.tanq.com;Repor Diesel Tanque;Repor Diesel no Tanque de Combustivel;0;01;14.01;3314712;1.01.02;3;N;0;N;0;N;0;N;0;N;0;N;000;000001;030103;0;0,1;0,9;0;0;0
2209673817;N;sol.aber.os;.Solicitação de Serviço;Modelo:|Chassis:|Horimetro:||Solicitação Cliente:|Serviço realizado:|;0,000001;01;14.01;140101;1.01.02;3;N;0;N;0;N;0;N;0;N;0;N;000;000001;030103;0;0,1;0,9;0;0;0
2208512038;N;sub.filt.ar;Substituição Filtro de Ar;Substituição Filtro de Ar;0;01;14.01;3314712;1.01.95;3;N;0;N;0;N;0;N;0;N;0;N;000;000001;030103;0;0,1;0,9;0;0;0
2208511918;N;sub.filt.lub;Substituição Filtro Lubrificante;Filtro Lubrificante;0;01;14.01;3314712;1.01.95;3;N;0;N;0;N;0;N;0;N;0;N;000;000001;030103;0;0,1;0,9;0;0;0
2208511804;N;sub.oleo.mot;Substituição Óleo do Motor;Substituição Óleo do Motor;0;01;14.01;3314712;1.01.95;3;N;0;N;0;N;0;N;0;N;0;N;000;000001;030103;0;0,1;0,9;0;0;0
2216885658;N;tro.tanq.com;Substituição da Junta do Tanque de Combustivel;Raspagem da Junta do Tanque e|Colagem da Junta do Tanque;0;01;14.01;3314712;1.01.02;3;N;0;N;0;N;0;N;0;N;0;N;000;000001;030103;0;0,1;0,9;0;0;0
